scenario,time,visible_mempool_size,pending_transaction_count,confirmed_in_step,avg_confirmation_time_step,resource_cost,chain_length
medium_load,146,17,3,0,,1.36,24
medium_load,147,19,4,0,,2.01,24
medium_load,148,19,7,12,11.0,5.96,24
medium_load,149,23,3,0,,1.47,24
medium_load,150,13,1,0,,0.81,25
medium_load,151,14,2,0,,1.4,25
medium_load,152,15,3,12,7.583333333333333,5.35,25
medium_load,153,17,1,0,,1.05,25
medium_load,154,5,3,0,,0.89,26
medium_load,155,6,5,0,,1.26,26
medium_load,156,8,3,8,4.75,3.31,26
medium_load,157,11,6,0,,2.34,26
medium_load,158,15,5,0,,1.8,26
medium_load,159,9,4,0,,0.91,27
medium_load,160,10,5,0,,1.25,27
medium_load,161,14,3,0,,1.43,27
medium_load,162,15,5,0,,1.8,27
medium_load,163,16,4,12,6.25,4.94,27
medium_load,164,20,2,0,,1.76,27
medium_load,165,21,7,0,,2.97,27
medium_load,166,10,7,0,,1.06,28
medium_load,167,14,7,12,4.916666666666667,5.91,28
medium_load,168,7,8,0,,2.16,29
medium_load,169,11,5,11,2.6363636363636362,4.64,29
medium_load,170,15,4,0,,1.77,29
medium_load,171,7,5,0,,1.57,30
medium_load,172,8,5,0,,0.88,30
medium_load,173,10,9,0,,2.37,30
medium_load,174,12,7,0,,0.93,30
medium_load,175,15,10,0,,2.7,30
medium_load,176,20,8,0,,2.19,30
medium_load,177,24,6,12,7.416666666666667,5.98,30
medium_load,178,27,5,0,,2.27,30
medium_load,179,30,4,0,,2.42,30
high_load,0,0,1,0,,0.28,0
high_load,1,0,8,0,,1.99,0
high_load,2,1,12,0,,1.67,0
high_load,3,4,12,0,,1.35,0
high_load,4,7,18,0,,3.21,0
high_load,5,15,13,12,3.75,5.9,0
high_load,6,17,14,0,,2.19,0
high_load,7,23,12,0,,2.74,0
high_load,8,28,8,0,,2.17,0
high_load,9,18,11,0,,2.66,1
high_load,10,21,10,0,,2.06,1
high_load,11,25,10,12,7.25,6.66,1
high_load,12,27,11,0,,2.7,1
high_load,13,22,6,0,,2.0,2
high_load,14,23,8,0,,2.37,2
high_load,15,26,6,0,,1.99,2
high_load,16,28,12,0,,4.04,2
high_load,17,31,13,12,11.083333333333334,7.11,2
high_load,18,35,13,0,,3.49,2
high_load,19,26,12,0,,2.42,3
high_load,20,34,8,0,,3.28,3
high_load,21,37,9,0,,3.49,3
high_load,22,39,13,0,,4.23,3
high_load,23,42,13,0,,3.66,3
high_load,24,49,7,12,13.916666666666666,7.26,3
high_load,25,51,11,0,,4.89,3
high_load,26,53,9,0,,3.45,3
high_load,27,45,7,12,12.75,7.27,4
high_load,28,47,6,0,,3.25,4
high_load,29,39,4,0,,2.96,5
high_load,30,40,6,12,13.0,7.19,5
high_load,31,41,11,0,,4.29,5
high_load,32,42,14,0,,3.94,5
high_load,33,47,15,0,,4.77,5
high_load,34,38,14,0,,3.2,6
high_load,35,45,10,12,14.5,7.61,6
high_load,36,48,14,0,,5.05,6
high_load,37,51,15,0,,4.51,6
high_load,38,58,13,12,17.5,8.98,6
high_load,39,52,8,0,,3.61,7
high_load,40,54,15,0,,5.94,7
high_load,41,58,14,0,,4.65,8
high_load,42,62,15,0,,5.42,8
high_load,43,69,10,0,,4.94,8
high_load,44,73,10,0,,5.68,8
high_load,45,78,9,12,21.583333333333332,9.81,8
high_load,46,80,14,0,,6.97,8
high_load,47,71,12,0,,4.87,9
high_load,48,78,12,12,19.5,10.65,9
high_load,49,80,17,0,,7.06,9
high_load,50,87,12,0,,6.08,9
high_load,51,81,14,0,,7.28,10
high_load,52,85,12,0,,5.96,10
high_load,53,89,17,0,,8.1,10
high_load,54,92,19,0,,7.34,10
high_load,55,99,14,0,,6.86,10
high_load,56,104,10,0,,6.79,10
high_load,57,111,7,12,25.0,11.73,10
high_load,58,112,6,0,,6.9,10
high_load,59,102,10,0,,7.92,11
high_load,60,104,12,0,,7.6,11
high_load,61,106,16,0,,8.34,11
high_load,62,108,22,0,,9.14,11
high_load,63,119,14,12,28.083333333333332,12.17,11
high_load,64,123,17,0,,9.64,11
high_load,65,128,16,0,,9.16,11
high_load,66,123,11,0,,8.21,12
high_load,67,129,7,12,29.583333333333332,12.31,12
high_load,68,131,9,0,,9.13,12
high_load,69,134,7,0,,8.5,12
high_load,70,135,10,0,,9.4,12
high_load,71,128,11,0,,9.51,13
high_load,72,132,13,0,,9.81,13
high_load,73,136,12,0,,9.27,13
high_load,74,139,15,12,33.75,14.15,13
high_load,75,143,16,0,,10.31,13
high_load,76,148,16,0,,10.61,13
high_load,77,141,16,0,,10.19,14
high_load,78,146,12,0,,9.37,14
high_load,79,152,10,0,,10.42,14
high_load,80,154,9,0,,9.76,14
high_load,81,161,4,0,,10.28,14
high_load,82,161,6,12,38.916666666666664,14.2,14
high_load,83,164,7,0,,11.05,14
high_load,84,153,10,0,,10.48,15
high_load,85,155,10,0,,10.1,15
high_load,86,157,10,0,,10.22,15
high_load,87,162,10,12,41.0,15.13,15
high_load,88,165,15,0,,12.35,15
high_load,89,169,12,0,,10.75,15
high_load,90,161,10,0,,10.46,16
high_load,91,166,8,0,,10.95,16
high_load,92,169,12,0,,12.25,16
high_load,93,171,12,0,,11.12,16
high_load,94,173,16,0,,12.36,16
high_load,95,179,16,12,46.5,16.58,16
high_load,96,183,15,0,,12.18,16
high_load,97,178,8,0,,10.92,17
high_load,98,182,5,0,,11.32,17
high_load,99,185,5,0,,12.0,17
high_load,100,186,7,12,49.25,15.98,17
high_load,101,187,9,0,,12.24,17
high_load,102,191,9,0,,12.73,17
high_load,103,180,10,12,49.916666666666664,15.46,18
high_load,104,184,13,0,,13.18,18
high_load,105,175,17,0,,12.76,19
high_load,106,179,18,0,,12.53,19
high_load,107,185,14,0,,12.02,19
high_load,108,192,17,0,,14.53,19
high_load,109,197,19,0,,14.14,19
high_load,110,204,17,0,,14.0,19
high_load,111,212,11,0,,13.55,19
high_load,112,215,11,12,55.833333333333336,17.84,19
high_load,113,219,10,0,,14.19,19
high_load,114,223,12,0,,15.24,19
high_load,115,227,12,0,,14.98,19
high_load,116,218,11,0,,13.91,20
high_load,117,223,11,12,56.916666666666664,18.82,20
high_load,118,227,10,0,,14.67,20
high_load,119,229,12,0,,15.1,20
high_load,120,231,14,0,,15.28,20
high_load,121,224,12,0,,14.55,21
high_load,122,226,15,0,,15.26,21
high_load,123,232,14,0,,15.59,21
high_load,124,237,12,0,,15.33,21
high_load,125,242,12,12,63.083333333333336,19.99,21
high_load,126,248,13,0,,17.02,21
high_load,127,249,12,0,,15.3,21
high_load,128,244,7,12,63.583333333333336,19.21,22
high_load,129,248,9,0,,16.65,22
high_load,130,238,14,12,62.083333333333336,20.31,23
high_load,131,242,20,0,,17.62,23
high_load,132,247,20,0,,16.67,23
high_load,133,239,22,0,,16.5,24
high_load,134,244,20,0,,15.99,24
high_load,135,257,13,0,,17.31,24
high_load,136,261,14,0,,17.33,24
high_load,137,266,11,0,,16.79,24
high_load,138,270,13,12,66.66666666666667,21.95,24
high_load,139,273,13,0,,17.52,24
high_load,140,279,17,0,,19.75,24
high_load,141,272,18,0,,18.36,25
high_load,142,276,18,0,,18.1,25
high_load,143,283,14,0,,18.15,25
high_load,144,291,8,0,,18.2,25
high_load,145,294,11,0,,19.47,25
high_load,146,298,12,12,72.25,23.35,25
high_load,147,302,14,0,,20.04,25
high_load,148,305,13,0,,19.19,25
high_load,149,309,13,0,,19.93,25
high_load,150,304,8,0,,18.98,26
high_load,151,308,12,0,,20.84,26
high_load,152,309,13,12,75.91666666666667,23.29,26
high_load,153,315,8,0,,19.39,26
high_load,154,316,13,12,77.91666666666667,24.71,26
high_load,155,310,11,0,,19.93,27
high_load,156,312,14,0,,20.39,27
high_load,157,315,16,0,,20.63,28
high_load,158,325,16,0,,22.48,28
high_load,159,329,16,12,79.0,25.08,28
high_load,160,333,14,0,,20.9,28
high_load,161,337,11,0,,20.8,28
high_load,162,345,8,0,,22.19,28
high_load,163,334,8,0,,20.53,29
high_load,164,339,6,0,,21.27,29
high_load,165,341,9,0,,21.98,29
high_load,166,342,10,12,81.5,25.18,29
high_load,167,346,10,0,,22.06,29
high_load,168,348,13,0,,22.52,29
high_load,169,353,15,0,,23.38,29
high_load,170,344,17,0,,22.4,30
high_load,171,349,19,0,,23.26,30
high_load,172,352,20,0,,22.72,30
high_load,173,362,14,0,,23.14,30
high_load,174,366,13,12,86.33333333333333,26.96,30
high_load,175,372,11,0,,23.65,30
high_load,176,373,13,0,,23.52,30
high_load,177,367,13,0,,23.91,31
high_load,178,372,13,0,,23.96,31
high_load,179,375,12,0,,23.36,31
